Ref,Val,Package,PosX,PosY,Rot,Side
"D3","LED_RED","R_1206_HandSoldering",83.446000,-36.518000,180.000000,top
"D4","LED_RED","R_1206_HandSoldering",130.301000,-57.488000,90.000000,top
"D5","LED_RED","R_1206_HandSoldering",111.701499,-48.773500,180.000000,top
"D7","SMAJ28CA","SMA",11.575000,-75.575000,270.000000,top
"D8","B150","SMA",26.950000,-82.750000,90.000000,top
"D9","LED_RED","R_1206_HandSoldering",91.351000,-63.338000,180.000000,top
"D10","LED_GREEN","R_1206_HandSoldering",42.650000,-95.625000,180.000000,top
"F1","MF-NSML550-2","R_1206_HandSoldering",11.050000,-85.325000,270.000000,top
"FB1","BLM18PG471SN1","R_0603_HandSoldering",136.453833,-37.837500,0.000000,top
"FB2","BLM18PG471SN1","R_0603_HandSoldering",30.950000,-69.675000,90.000000,top
"FB3","330","C_0805_HandSoldering",92.276000,-37.988000,90.000000,top
"L5","47u","Choke_SMD_10.1x10.0",19.275000,-88.700000,180.000000,top
"Q1","BSS123","SOT-23_Handsoldering",52.276000,-79.113000,270.000000,top
"Q2","BSS123","SOT-23_Handsoldering",52.391952,-86.193000,90.000000,top
"Q3","BSS123","SOT-23_Handsoldering",61.251000,-94.188000,90.000000,top
"Q4","BSS123","SOT-23_Handsoldering",52.051952,-93.943000,90.000000,top
"Q5","FZT751TA","SOT-223",59.676000,-82.538000,180.000000,top
"R1","10K","R_1206_HandSoldering",12.150000,-67.325000,180.000000,top
"R2","10K","R_1206_HandSoldering",57.151000,-93.638000,90.000000,top
"R3","10K","R_1206_HandSoldering",47.801000,-93.888000,90.000000,top
"R4","10K","R_1206_HandSoldering",47.788500,-78.625500,270.000000,top
"R5","10K","R_1206_HandSoldering",47.826000,-86.263000,90.000000,top
"R6","1K 1%","R_1206_HandSoldering",59.226000,-88.338000,180.000000,top
"R7","10K","R_1206_HandSoldering",69.768500,-92.730499,90.000000,top
"R8","18K 1%","R_1206_HandSoldering",65.426000,-77.088000,180.000000,top
"R9","10K","R_1206_HandSoldering",83.226000,-92.688000,90.000000,top
"R10","475, <10%","R_1206_HandSoldering",86.726000,-80.388000,0.000000,top
"R11","10K","R_1206_HandSoldering",86.226000,-92.688000,90.000000,top
"R12","49k9","R_1206_HandSoldering",147.698000,-69.566000,90.000000,top
"R13","49k9","R_1206_HandSoldering",147.226000,-83.888000,90.000000,top
"R14","7k 1%","R_1206_HandSoldering",132.376000,-77.538000,0.000000,top
"R15","18k 1%","R_1206_HandSoldering",132.391000,-72.029000,0.000000,top
"R16","7k 1%","R_1206_HandSoldering",132.033000,-88.970000,0.000000,top
"R17","18k 1%","R_1206_HandSoldering",132.033000,-83.459000,0.000000,top
"R19","10k6 1%","R_1206_HandSoldering",132.441000,-74.823000,0.000000,top
"R21","10k6 1%","R_1206_HandSoldering",132.033000,-86.253000,0.000000,top
"R22","100k","R_1206_HandSoldering",98.476000,-17.313000,180.000000,top
"R23","100k","R_1206_HandSoldering",90.476000,-10.713000,90.000000,top
"R24","120","R_1206_HandSoldering",83.776000,-32.268000,180.000000,top
"R25","32k4, 1%","R_1206_HandSoldering",115.151000,-40.238000,270.000000,top
"R26","16k2, 1%","R_1206_HandSoldering",111.776000,-40.213000,270.000000,top
"R27","20k","R_1206_HandSoldering",116.426000,-57.538000,90.000000,top
"R28","20k","R_1206_HandSoldering",111.740501,-51.768500,0.000000,top
"R29","1k","R_1206_HandSoldering",127.126000,-49.963000,90.000000,top
"R30","1k","R_1206_HandSoldering",111.676000,-45.788000,0.000000,top
"R31","210, 1%","R_1206_HandSoldering",125.900000,-29.100000,0.000000,top
"R32","107, 1%","R_1206_HandSoldering",125.900000,-32.300000,180.000000,top
"R33","75, 5%","R_1206_HandSoldering",148.325000,-56.975000,270.000000,top
"R34","10k","R_1206_HandSoldering",136.701000,-41.613000,180.000000,top
"R35","1k02","R_1206_HandSoldering",35.325000,-94.925000,0.000000,top
"R36","3k4","R_1206_HandSoldering",35.350000,-92.025000,180.000000,top
"R37","100k","R_1206_HandSoldering",98.051000,-51.713000,180.000000,top
"R38","100k","R_1206_HandSoldering",88.651000,-46.738000,90.000000,top
"R39","120","R_1206_HandSoldering",91.351000,-59.988000,180.000000,top
"R40","34","R_1206_HandSoldering",110.026000,-26.588000,180.000000,top
"R41","34","R_1206_HandSoldering",93.226000,-23.538000,0.000000,top
"R42","34","R_1206_HandSoldering",93.226000,-26.588000,0.000000,top
"R43","34","R_1206_HandSoldering",110.026000,-32.688000,180.000000,top
"R44","34","R_1206_HandSoldering",110.076000,-29.688000,180.000000,top
"R45","34","R_1206_HandSoldering",110.076000,-23.538000,180.000000,top
"R46","330","R_1206_HandSoldering",36.275000,-88.875000,0.000000,top
"U1","ADAU1701","LQFP-48_7x7mm_Pitch0.5mm",76.901000,-82.788000,0.000000,top
"U2","24AA256SN","SOIC-8_3.9x4.9mm_Pitch1.27mm",92.217905,-90.333000,180.000000,top
"U3","SN74LVC14ADG4","SOIC-14_3.9x8.7mm_Pitch1.27mm",81.451000,-13.113000,180.000000,top
"U4","TAS5760MDCAR","HTSSOP-48",58.051000,-17.638000,180.000000,top
"U7","LM2842Y","SOT23-6_1.7x3.0mm_Pitch0.95mm",29.975000,-89.550000,90.000000,top
"U8","SN74LVC14ADG4","SOIC-14_3.9x8.7mm_Pitch1.27mm",81.251000,-48.038000,180.000000,top
"U9","TAS5760MDCAR","HTSSOP-48",60.701000,-50.788000,180.000000,top
"U10","IDT2309NZ","SOIC-16_3.9x9.9mm_Pitch1.27mm",101.626000,-28.388000,180.000000,top
"X1","ASV-24.576MHz-EJ-T","Oscillator_SMD_Abracon_ASV-4pin_7.0x5.1mm_HandSoldering",101.926000,-39.638000,0.000000,top
